president,annual_gnp_growth_pct,annual_debt_increase_pct,ufo_sightings,daily_cig_sale_per_adult
Barack Obama,1.8566666666666667,10.183333333333335,4324.0,3.466666658719381
Bill Clinton,3.8124999999999996,4.2875,1120.375,6.1875
Dwight D. Eisenhower,2.53875,1.2625000000000002,40.75,9.849999785423279
George H. W. Bush,2.2225,11.825,188.5,7.25
George W. Bush,1.9469999999999998,7.35,3000.8,4.679999971389771
Gerald Ford,1.6366666666666665,10.766666666666666,229.33333333333334,10.43333339691162
Harry S. Truman,5.67,0.675,21.5,9.600000143051147
Jimmy Carter,3.2275,9.975000000000001,212.25,9.999999761581421
John F. Kennedy,5.29,2.233333333333334,55.0,10.966666539510088
Lyndon B. Johnson,5.15,2.6,144.8,10.619999885559086
Richard Nixon,4.062857142857143,6.1571428571428575,121.28571428571429,10.157142639160158
Ronald Reagan,3.58875,14.125000000000002,152.625,8.93750011920929
